Header Size:	8
Name:	STANDARDIZED 
Date:	Fri Feb 27 16:45:56 2015
Coordinate System:	Global Coordinate System
Character Dimensions:	3	6
TCP Rotation Matrix:	0	0	-1	0	1	0	1	0	0
Column Fields:	CartesianPosition
Column Element Size:	3
Entries:	1637
-0.000396	0.001512	0.000431
-0.000405	0.001534	0.000446
-0.000414	0.001552	0.000459
-0.000423	0.001574	0.000473
-0.000432	0.001593	0.000488
-0.000443	0.001612	0.000504
-0.000451	0.001634	0.000517
-0.000461	0.001656	0.000532
-0.000471	0.001676	0.000548
-0.000482	0.001698	0.000565
-0.000491	0.001718	0.000580
-0.000502	0.001741	0.000597
-0.000514	0.001764	0.000616
-0.000524	0.001784	0.000632
-0.000534	0.001807	0.000648
-0.000546	0.001827	0.000667
-0.000557	0.001848	0.000685
-0.000567	0.001868	0.000701
-0.000579	0.001888	0.000720
-0.000590	0.001909	0.000739
-0.000600	0.001929	0.000755
-0.000612	0.001952	0.000775
-0.000623	0.001971	0.000793
-0.000633	0.001991	0.000809
-0.000644	0.002012	0.000828
-0.000655	0.002031	0.000846
-0.000666	0.002054	0.000862
-0.000676	0.002075	0.000878
-0.000687	0.002097	0.000896
-0.000698	0.002120	0.000914
-0.000707	0.002140	0.000929
-0.000718	0.002162	0.000947
-0.000727	0.002183	0.000963
-0.000736	0.002203	0.000978
-0.000745	0.002224	0.000993
-0.000755	0.002243	0.001009
-0.000763	0.002264	0.001023
-0.000771	0.002284	0.001037
-0.000779	0.002302	0.001052
-0.000787	0.002320	0.001066
-0.000794	0.002338	0.001079
-0.000801	0.002356	0.001093
-0.000808	0.002373	0.001108
-0.000814	0.002390	0.001120
-0.000818	0.002406	0.001131
-0.000824	0.002421	0.001144
-0.000828	0.002437	0.001157
-0.000832	0.002451	0.001167
-0.000835	0.002468	0.001177
-0.000838	0.002484	0.001187
-0.000840	0.002497	0.001197
-0.000842	0.002510	0.001206
-0.000842	0.002524	0.001213
-0.000842	0.002538	0.001222
-0.000843	0.002551	0.001231
-0.000842	0.002562	0.001238
-0.000840	0.002574	0.001243
-0.000839	0.002587	0.001250
-0.000837	0.002600	0.001256
-0.000835	0.002611	0.001263
-0.000832	0.002622	0.001267
-0.000828	0.002635	0.001271
-0.000826	0.002648	0.001276
-0.000823	0.002659	0.001281
-0.000819	0.002670	0.001285
-0.000813	0.002681	0.001287
-0.000810	0.002693	0.001291
-0.000806	0.002706	0.001296
-0.000799	0.002717	0.001297
-0.000793	0.002727	0.001299
-0.000787	0.002739	0.001300
-0.000782	0.002751	0.001301
-0.000777	0.002764	0.001303
-0.000770	0.002775	0.001304
-0.000763	0.002785	0.001303
-0.000755	0.002797	0.001303
-0.000749	0.002809	0.001302
-0.000743	0.002822	0.001303
-0.000735	0.002832	0.001302
-0.000729	0.002844	0.001303
-0.000721	0.002855	0.001301
